tem,rain,rain%,cloud,pressure,wind,gust,forecast,dateTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
26,0,0,29,1016,5,8,8,2009102821,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,100,1016,3,6,2,2009102900,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,100,1016,2,4,2,2009102903,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,68,1018,5,7,1,2009102906,0,0,0,0,0,0,0,0,0,1,0,0
28,1.2,0,59,1018,3,4,7,2009102909,0,0,0,0,0,0,0,0,0,1,0,0
31,0.8,0,13,1016,6,7,18,2009102912,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,11,1014,8,11,0,2009102915,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,12,1015,8,14,0,2009102918,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,14,1016,5,10,0,2009102921,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,16,1015,4,8,8,2009103000,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,8,1016,3,6,8,2009103003,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,58,1017,2,2,14,2009103006,0,0,0,0,0,0,0,0,0,1,0,0
28,0.1,0,58,1017,4,5,14,2009103009,0,0,0,0,0,0,0,0,0,1,0,0
30,0,0,22,1015,7,8,0,2009103012,0,0,0,0,0,0,0,0,0,1,0,0
29,0.1,0,26,1014,7,9,14,2009103015,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,15,1015,13,23,0,2009103018,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,15,1015,6,10,8,2009103021,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,100,1015,5,10,2,2009103100,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,100,1014,3,6,2,2009103103,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,33,1016,3,4,14,2009103106,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,12,1016,3,3,0,2009103109,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0,7,1014,5,6,0,2009103112,0,0,0,0,0,0,0,0,0,1,0,0
34,0,0,11,1013,5,6,0,2009103115,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,7,1015,4,8,0,2009103118,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,10,1016,4,8,0,2009103121,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,19,1016,0,1,0,2009110100,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,32,1016,5,11,14,2009110103,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,34,1018,7,11,14,2009110106,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,19,1018,12,14,0,2009110109,0,0,0,0,0,0,0,0,0,0,1,0
33,0,0,41,1017,13,17,14,2009110112,0,0,0,0,0,0,0,0,0,0,1,0
27,0.5,0,45,1016,13,23,18,2009110115,0,0,0,0,0,0,0,0,0,0,1,0
25,0.9,0,80,1018,7,14,7,2009110118,0,0,0,0,0,0,0,0,0,0,1,0
25,0.2,0,22,1020,12,22,18,2009110121,0,0,0,0,0,0,0,0,0,0,1,0
21,0.2,0,27,1021,11,19,18,2009110200,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,46,1023,13,23,14,2009110203,0,0,0,0,0,0,0,0,0,0,1,0
19,0.1,0,26,1025,12,19,14,2009110206,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,17,1026,18,23,0,2009110209,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,15,1025,16,21,0,2009110212,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,18,1023,10,15,0,2009110215,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,16,1025,8,17,0,2009110218,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,7,1026,9,17,0,2009110221,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,4,1026,9,15,0,2009110300,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,7,1026,9,16,0,2009110303,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,9,1027,11,18,0,2009110306,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,17,1027,9,10,0,2009110309,0,0,0,0,0,0,0,0,0,0,1,0
24,0,0,18,1024,6,7,0,2009110312,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,23,1023,3,4,0,2009110315,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,38,1024,3,7,14,2009110318,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,40,1024,2,4,14,2009110321,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,46,1024,4,8,14,2009110400,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,32,1023,5,9,14,2009110403,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,45,1024,7,12,14,2009110406,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,28,1024,7,8,14,2009110409,0,0,0,0,0,0,0,0,0,0,1,0
